id;product;unit_price;quantity;total
1;portal reboot;holistic Peso Handcrafted;92349;Borders target Cambridgeshire
2;circuit Account Outdoors;integrate e-commerce;73814;Account online deliverables
3;Path;Finland Small generate;67523;Response
4;SDD Grove;tan;45390;transitional
5;Brand;impactful protocol programming;49498;Dam Shoes Mobility
6;connecting Pizza interfaces;Web even-keeled;46960;payment
7;quantifying Internal Wooden;Specialist;96848;ADP methodical
8;hacking;Bacon Tasty Computer;35275;Harbors cohesive Denar
9;tertiary ivory;Assistant payment payment;21088;Chips Denar Belarus
10;niches software Money;Networked;9460;Administrator Carolina local
