id;name;description;type;price
1;Steel;Assistant;cross-platform Principal;wireless Computer
2;reboot magenta THX;THX;Centers Metal navigating;partnerships Infrastructure
3;transmitting New Bedfordshire;Malagasy intranet;neutral;Bike
4;Computer CFP orange;Village;distributed indigo JSON;Personal Steel
5;solutions;Prairie;invoice;Bike Shoes Center
6;tangible;Cheese Renminbi;Consultant online;project hacking efficient
7;mobile metrics;lavender application grey;up;systems Gorgeous
8;Brand;Plastic Cambridgeshire;Automotive;Operations Chicken
9;Usability multi-byte;Kids IB;Algeria Rustic;Taka
10;wireless Practical Solutions;International Square;Frozen Sausages;invoice
